x,y,z,a,b,c,e,coil1,coil2,timestamp,
0.5023241562,7.9842138274,0,232.884,0,180,1,2000,2000,4.48,112
-0.5023241562,7.9842138274,0,233.352,0,180,1,2000,2000,4.52,113
-1.4990505167,7.8582980058,0,233.82,0,180,1,2000,2000,4.56,114
-2.472135955,7.6084521304,0,234.288,0,180,1,2000,2000,4.6,115
-3.4062343325,7.2386164197,0,234.756,0,180,1,2000,2000,4.64,116
-4.2866143598,6.754623404,0,235.224,0,180,1,2000,2000,4.68,117
-5.099391918,6.1641059422,0,235.692,0,180,1,2000,2000,4.72,118
-5.8317490194,5.4763768474,0,236.16,0,180,1,2000,2000,4.76,119
-6.472135955,4.7022820183,0,236.628,0,180,1,2000,2000,4.8,120
-7.0104534404,3.8540293928,0,237.096,0,180,1,2000,2000,4.84,121
-7.4382118871,2.9449964215,0,237.564,0,180,1,2000,2000,4.88,122
-7.748665289,1.9895190973,0,238.032,0,180,1,2000,2000,4.92,123
-7.9369176105,1.0026658685,0,238.5,0,180,1,2000,2000,4.96,124
-8,-9.31226751861259E-15,0,238.968,0,180,1,2000,2000,5,125
-7.9369176105,-1.0026658685,0,239.436,0,180,1,2000,2000,5.04,126
-7.748665289,-1.9895190973,0,239.904,0,180,1,2000,2000,5.08,127
-7.4382118871,-2.9449964215,0,240.372,0,180,1,2000,2000,5.12,128
-7.0104534404,-3.8540293928,0,240.84,0,180,1,2000,2000,5.16,129
-6.472135955,-4.7022820183,0,241.308,0,180,1,2000,2000,5.2,130
-5.8317490194,-5.4763768474,0,241.776,0,180,1,2000,2000,5.24,131
-5.099391918,-6.1641059422,0,242.244,0,180,1,2000,2000,5.28,132
-4.2866143598,-6.754623404,0,242.712,0,180,1,2000,2000,5.32,133
-3.4062343325,-7.2386164197,0,243.18,0,180,1,2000,2000,5.36,134
-2.472135955,-7.6084521304,0,243.648,0,180,1,2000,2000,5.4,135
-1.4990505167,-7.8582980058,0,244.116,0,180,1,2000,2000,5.44,136
-0.5023241562,-7.9842138274,0,244.584,0,180,1,2000,2000,5.48,137
0.5023241562,-7.9842138274,0,245.052,0,180,1,2000,2000,5.52,138
1.4990505167,-7.8582980058,0,245.52,0,180,1,2000,2000,5.56,139
2.472135955,-7.6084521304,0,245.988,0,180,1,2000,2000,5.6,140
3.4062343325,-7.2386164197,0,246.456,0,180,1,2000,2000,5.64,141
4.2866143598,-6.754623404,0,246.924,0,180,1,2000,2000,5.68,142
5.099391918,-6.1641059422,0,247.392,0,180,1,2000,2000,5.72,143
5.8317490194,-5.4763768474,0,247.86,0,180,1,2000,2000,5.76,144
6.472135955,-4.7022820183,0,248.328,0,180,1,2000,2000,5.8,145
7.0104534404,-3.8540293928,0,248.796,0,180,1,2000,2000,5.84,146
7.4382118871,-2.9449964215,0,249.264,0,180,1,2000,2000,5.88,147
7.748665289,-1.9895190973,0,249.732,0,180,1,2000,2000,5.92,148
7.9369176105,-1.0026658685,0,250.2,0,180,1,2000,2000,5.96,149
8,-5.8783046359073E-15,0,250.668,0,180,1,2000,2000,6,150
7.9369176105,1.0026658685,0,251.136,0,180,1,2000,2000,6.04,151
7.748665289,1.9895190973,0,251.604,0,180,1,2000,2000,6.08,152
7.4382118871,2.9449964215,0,252.072,0,180,1,2000,2000,6.12,153
7.0104534404,3.8540293928,0,252.54,0,180,1,2000,2000,6.16,154
6.472135955,4.7022820183,0,253.008,0,180,1,2000,2000,6.2,155
5.8317490194,5.4763768474,0,253.476,0,180,1,2000,2000,6.24,156
5.099391918,6.1641059422,0,253.944,0,180,1,2000,2000,6.28,157
4.2866143598,6.754623404,0,254.412,0,180,1,2000,2000,6.32,158
3.4062343325,7.2386164197,0,254.88,0,180,1,2000,2000,6.36,159
2.472135955,7.6084521304,0,255.348,0,180,1,2000,2000,6.4,160
1.4990505167,7.8582980058,0,255.816,0,180,1,2000,2000,6.44,161
0.5023241562,7.9842138274,0,256.284,0,180,1,2000,2000,6.48,162
-0.5023241562,7.9842138274,0,256.752,0,180,1,2000,2000,6.52,163
-1.4990505167,7.8582980058,0,257.22,0,180,1,2000,2000,6.56,164
-2.472135955,7.6084521304,0,257.688,0,180,1,2000,2000,6.6,165
-3.4062343325,7.2386164197,0,258.156,0,180,1,2000,2000,6.64,166
-4.2866143598,6.754623404,0,258.624,0,180,1,2000,2000,6.68,167
-5.099391918,6.1641059422,0,259.092,0,180,1,2000,2000,6.72,168
-5.8317490194,5.4763768474,0,259.56,0,180,1,2000,2000,6.76,169
-6.472135955,4.7022820183,0,260.028,0,180,1,2000,2000,6.8,170
-7.0104534404,3.8540293928,0,260.496,0,180,1,2000,2000,6.84,171
-7.4382118871,2.9449964215,0,260.964,0,180,1,2000,2000,6.88,172
-7.748665289,1.9895190973,0,261.432,0,180,1,2000,2000,6.92,173
-7.9369176105,1.0026658685,0,261.9,0,180,1,2000,2000,6.96,174
-8,-2.15636873551788E-14,0,262.368,0,180,1,2000,2000,7,175
-7.9369176105,-1.0026658685,0,262.836,0,180,1,2000,2000,7.04,176
-7.748665289,-1.9895190973,0,263.304,0,180,1,2000,2000,7.08,177
-7.4382118871,-2.9449964215,0,263.772,0,180,1,2000,2000,7.12,178
-7.0104534404,-3.8540293928,0,264.24,0,180,1,2000,2000,7.16,179
-6.472135955,-4.7022820183,0,264.708,0,180,1,2000,2000,7.2,180
-5.8317490194,-5.4763768474,0,265.176,0,180,1,2000,2000,7.24,181
-5.099391918,-6.1641059422,0,265.644,0,180,1,2000,2000,7.28,182
-4.2866143598,-6.754623404,0,266.112,0,180,1,2000,2000,7.32,183
-3.4062343325,-7.2386164197,0,266.58,0,180,1,2000,2000,7.36,184
-2.472135955,-7.6084521304,0,267.048,0,180,1,2000,2000,7.4,185
-1.4990505167,-7.8582980058,0,267.516,0,180,1,2000,2000,7.44,186
-0.5023241562,-7.9842138274,0,267.984,0,180,1,2000,2000,7.48,187
0.5023241562,-7.9842138274,0,268.452,0,180,1,2000,2000,7.52,188
1.4990505167,-7.8582980058,0,268.92,0,180,1,2000,2000,7.56,189
2.472135955,-7.6084521304,0,269.388,0,180,1,2000,2000,7.6,190
3.4062343325,-7.2386164197,0,269.856,0,180,1,2000,2000,7.64,191
4.2866143598,-6.754623404,0,270.324,0,180,1,2000,2000,7.68,192
